ID,FROM,TO
6,165,167
6,175,179
6,375,377
9,184,186
16,185,211
18,199,210
20,133,139
20,163,165
20,177,186
20,278,284
22,120,123
26,187,189
28,72,75
29,287,296
30,101,106
31,127,129
31,122,123
34,215,223
35,149,169
38,380,383
43,195,200
44,501,559
46,146,147
46,150,150
46,365,375
46,380,391
47,347,355
49,164,172
KMC 51,139,148
KMC 51,152,166
KMC 51,162,183
KMC 51,167,173
KMC 56,154,157
KMC 56,168,174
KMC 59,139,142
KMC 59,168,170
KMC 59,189,195
KMC 63,123,125
KMC 65,146,148
KMC 65,149,152
KMC 69,179,180
KMC 69,198,201
KMC 78,89,95
KMC 79,163,170
KMC 84,149,153
KMC 84,157,158
KMC 84,165,168
KMC 91,152,154
KMC 91,180,183
KMC 91,192,195
KMC 97,54,55
KMC 97,37,38
KMC 97,75,76
KMC 99,126,130
KMC 99,300,303
KMC 100,396,399
KMC 104,163,164
KMC 104,176,179
KMC 104,178,180
KMC 104,183,188
KMC 104,204,206
KMC 115,358,363
KMC 47,182,185
KMC 47,191,193
KMC 47,328,358
KMC 138,142,146
KMC 138,185,195
KMC 152,77,111
KMC 154,147,150
KMC 154,166,168
KMC 154,172,1774
KMC 154,286,296
KMC 154,358,364
KMC 157,201,204
KMC 158,202,204
KMC 158,206,208